title,url,description,genres
The Not Too Late Show with Elmo,https://www.metacritic.com/tv/amy-schumer-learns-to-cook/,Amy Schumer (who worked as a bartender) makes cocktails and learns how to cook from her husband Chris Fischer in this series filmed at their home.,"['Reality-TV', '', 'Reality-TV']"
Labor of Love,https://www.metacritic.com/tv/the-disney-family-singalong-volume-ii/,"Ryan Seacrest returns as host of the second at home singalong special with such stars as: Merle Dandridge, Billy Eichner, Josh Gad, Donald Glover, Halsey, Heather Headley, Derek Hough, Julianne Hough, Adam Jacobs, Caissie Levy, Kara Lindsay, Kevin Massey, Idina Menzel, Miguel, Keke Palmer, Ben Platt, Seth Rogen, Anika Noni Rose, Walter R...","['Family', 'Music', 'Musical', '', '', '', 'Family', 'Music', 'Musical']"
Celebrity Escape Room,https://www.metacritic.com/tv/feeding-america-comedy-festival/,"The two-hour comedy special will feature such comedians as: Louie Anderson, Judd Apatow, Jack Black, Wayne Brady, Adam Carolla, Cedric the Entertainer, Margaret Cho, Andrew Dice Clay, Deon Cole, Billy Crystal, Whitney Cummings, Tommy Davidson, Bill Engvall, Mike Epps, Billy Gardell, Brad Garrett, Whoopi Goldberg, Tiffany Haddish, Kevin H...","['Comedy', '', 'Comedy']"
Ultimate Tag,https://www.metacritic.com/tv/i-know-this-much-is-true/,"The six-episode limited series finds identical twin brothers Dominick and Thomas Birdsey (both played by Mark Ruffalo) dealing with metal illness, relationship issues and secrets in this adaptation of Wally Lamb's novel of the same name.","['Drama', '', 'Drama']"
Once Upon a Quarantime,https://www.metacritic.com/tv/regular-heroes/,"Alicia Keys, Kevin Hart, Nick Jonas are some of the celebrities introducing stories of essential workers who help their communities during the COVID-19 pandemic.","['Documentary', '', 'Documentary']"
Blood & Water,https://www.metacritic.com/tv/the-eddy/,The arrival of Elliot Udo's (Andre Holland) teenage daughter Julie (Amandla Stenberg) at his failing Paris jazz club forces him to face his issues in this musical drama series from Damien Chazelle.,"['Drama', 'Music', '', '', 'Drama', 'Music']"
Patton Oswalt: I Love Everything,https://www.metacritic.com/tv/solar-opposites/,The animated sitcom created by Justin Roiland and Mike McMaha about aliens who end up in middle America after their planet is destroyed.,"['Animation', 'Adventure', 'Comedy', 'Sci-Fi', '', '', '', '', 'Animation', 'Adventure', 'Comedy', 'Sci-Fi']"
Sweet Magnolias,https://www.metacritic.com/tv/jimmy-o-yang-good-deal/,The debut comedy special for the comedian best known from HBO's Silcon Valley was filmed at Seattle's Neptune Theater.,"['Comedy', '', 'Comedy']"
The Big Flower Fight,https://www.metacritic.com/tv/celebrity-watch-party/,"Joe Buck, Robert and Kym Herjavec, Rob Lowe, Master P and Romeo, Raven-Symoné, JoJo Siwa, Curtis Stone, Meghan Trainor, and Steve Wozniak are some of the celebrities who will share videos of themselves as they react to recent news and television shows in this series based on the UK show, Gogglebox.","['Reality-TV', '', 'Reality-TV']"
Dead Still,https://www.metacritic.com/tv/robbie/,"Robbie (Rory Scovel), an ice cream store manager and church-league basketball coach lives in the shadow of his father (Beau Bridges), until he discovers he has a son in this comedy written by Rory Scovel and Anthony King.","['Comedy', '', 'Comedy']"
DC's Stargirl,https://www.metacritic.com/tv/jerry-seinfeld-23-hours-to-kill/,The latest comedy special for Jerry Seinfeld was filmed at New York City's Beacon Theatre.,"['Comedy', '', 'Comedy']"
Hightown,https://www.metacritic.com/tv/tirdy-works/,Mary Winchenbach's moose scat (moose-poop) art and jewelry business in rural Maine is the focus of this reality series.,"['Comedy', 'Drama', '', '', 'Comedy', 'Drama']"
Snowpiercer,https://www.metacritic.com/tv/natalie-wood-what-remains-behind/,"The documentary directed by Laurent Bouzereau features personal photos, home movies and Natasha Gregson Wagner interviewing friends and family about her mother, Natalie Wood.","['Documentary', 'Biography', '', '', 'Documentary', 'Biography']"
The Great,https://www.metacritic.com/tv/camp-getaway/,"The reality show takes a look at the young counselors and guests at Connecticut's Camp Getaway, a summer camp for adults.","['Reality-TV', '', 'Reality-TV']"
White Lines,https://www.metacritic.com/tv/disney-gallery-the-mandalorian/,The eight-part documentary series about the making of The Mandalorian features interviews and behind-the-scenes footage.,"['Documentary', '', 'Documentary']"
The Happy Days of Garry Marshall,https://www.metacritic.com/tv/prop-culture/,"Dan Lanigan talks about props with those who created them and the film makers of such movies as The Chronicles of Narnia: The Lion the Witch and the Wardrobe, Honey, I Shrunk The Kids, Mary Poppins, The Muppet Movie, The Nightmare Before Christmas, Pirates of the Caribbean: The Curse of the Black Pearl, Tron and Who Framed Roger Rabbit?","['Documentary', 'Unknown', 'Adventure', 'History', '', '', '', '', 'Documentary', 'Unknown', 'Adventure', 'History']"
Trial by Media,https://www.metacritic.com/tv/betty/,"Janay (Dede Lovelace), Honeybear (Moonbear), Kirt (Nina Moran), Indigo (Ajani Russell), and Camille (Rachelle Vinberg) are a group of young women skateboarders living in New York City and dealing with the male-dominated world of skateboarding in this series based on Crystal Moselle's 2018 film, Skate Kitchen.","['Comedy', '', 'Comedy']"
Asian Americans,https://www.metacritic.com/tv/hollywood/,"Ryan Murphy's limited series for Netflix is set during the ""Golden Age"" of Hollywood.","['Drama', 'History', '', '', 'Drama', 'History']"
Amy Schumer Learns to Cook,https://www.metacritic.com/tv/upload/,"After a near fatal accident, app developer Nathan (Robbie Amell) is uploaded into a virtual afterlife called Lakeside by his girlfriend in this sci-fi comedy created and written by Greg Daniels.","['Comedy', 'Mystery', 'Sci-Fi', '', '', '', 'Comedy', 'Mystery', 'Sci-Fi']"
The Disney Family Singalong: Volume II,https://www.metacritic.com/tv/trying/,Jason (Rafe Spall) and Nikki (Esther Smith) want to have children but are unable to in this British comedy written by Andy Wolton.,"['Comedy', 'Drama', 'Romance', '', '', '', 'Comedy', 'Drama', 'Romance']"
Feeding America Comedy Festival,https://www.metacritic.com/tv/into-the-night/,A late-night Belgian plane destined to Moscow is hijacked and instructed to head west because daylight is killing everyone in this apocalyptic thriller created by Jason George and inspired by the Polish science fiction novel The Old Axolotl by Jacek Dukaj.,"['Drama', 'Sci-Fi', 'Thriller', '', '', '', 'Drama', 'Sci-Fi', 'Thriller']"
I Know This Much Is True,https://www.metacritic.com/tv/a-parks-and-recreation-special/,Leslie Knope checks in with her friends while under self-isolating at home in this special episode that will raise money for Feeding America’s COVID-19 Response Fund.,"['Unknown', 'Comedy', '', '', 'Unknown', 'Comedy']"
Regular Heroes,https://www.metacritic.com/tv/normal-people/,"Set in Ireland, the complicated relationship between the wealthy bur lonely Marianne (Daisy Edgar-Jones) and Connell (Paul Mescal), the son of her family's house cleaner, begins in secret as teenagers but everything changes once at Trinity College in this 12-episode limited series based on Sally Rooney's novel of the same name.","['Drama', 'Romance', '', '', 'Drama', 'Romance']"
The Eddy,https://www.metacritic.com/tv/never-have-i-ever/,First-generation Indian-American teenager Devi Vishwakumar (Maitreyi Ramakrishnan) deals with issues with high school and growing up in this series inspired by creator Mindy Kaling's childhood.,"['Comedy', 'Drama', '', '', 'Comedy', 'Drama']"
Solar Opposites,https://www.metacritic.com/tv/rupauls-secret-celebrity-drag-race/,"The spin-off of RuPaul's Drag Race features celebrities who are mentored by past contestants as they compete for the title of ""America's Next Celebrity Drag Race Superstar"" and money for their charity.","['Music', 'Reality-TV', '', '', 'Music', 'Reality-TV']"
Jimmy O Yang: Good Deal,https://www.metacritic.com/tv/defending-jacob/,"Jacob (Jaeden Martell), the 14-year-old son of assistant district attorney Andy Barber (Chris Evans), is accused of murder in this limited series thriller based on the novel of the same name by William Landay.","['Crime', 'Drama', 'Mystery', 'Thriller', '', '', '', '', 'Crime', 'Drama', 'Mystery', 'Thriller']"
Celebrity Watch Party,https://www.metacritic.com/tv/born-wild-the-next-generation/,Robin Roberts hosts this one-hour special that features stories with baby wild animals and their threatened environments around the world.,"['Documentary', '', 'Documentary']"
Robbie,https://www.metacritic.com/tv/gangs-of-london/,"The British crime drama created by Gareth Evans begins with the assassination of crime lord Finn Wallace (Colm Meaney), which creates a power vacuum. His son, Sean Wallace (Joe Cole), seeks to take over with the help of Ed Dumani (Lucian Msamati), but the Albanian Mafia, the Kurds, the Pakistanis, and Welsh travellers all see an opening ...","['Action', 'Crime', 'Drama', '', '', '', 'Action', 'Crime', 'Drama']"
Jerry Seinfeld: 23 Hours to Kill,https://www.metacritic.com/tv/were-here/,"Bob the Drag Queen, Eureka O'Hara and Shangela Laquifa Wadley travel to small towns to select and teach participants to perform at an one-night only drag show.","['Reality-TV', '', 'Reality-TV']"
Tirdy Works,https://www.metacritic.com/tv/penny-dreadful-city-of-angels/,"Set in 1938 Los Angeles, detective Tiago Vega (Daniel Zovatto) and his partner Lewis Michener (Nathan Lane) investigate a shocking murder and soon find themselves facing strange and powerful forces like Magda (Natalie Dormer) in this next (but unrelated) chapter of John Logan's Penny Dreadful.","['Crime', 'Drama', 'Fantasy', 'History', 'Horror', 'Mystery', 'Thriller', '', '', '', '', '', '', '', 'Crime', 'Drama', 'Fantasy', 'History', 'Horror', 'Mystery', 'Thriller']"
Natalie Wood: What Remains Behind,https://www.metacritic.com/tv/ghost-in-the-shell-sac_2045/,The 3-D reboot of the anime series is set in 2045 with ex-members of Japan's Section 9 including Major Motoko Kusanagi deal with a new threat: post humans.,"['Animation', 'Action', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller', '', '', '', '', '', '', '', 'Animation', 'Action', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
Camp Getaway,https://www.metacritic.com/tv/she-walks-with-apes/,"Narrated by Sandra Oh, the documentary filmed by Caitlin and Mark Starowicz is about the work of Jane Goodall, Dian Fossey and Biruté Galdikas.","['Documentary', '', 'Documentary']"
Disney Gallery: The Mandalorian,https://www.metacritic.com/tv/fraggle-rock-rock-on!/,"Gobo, Red, Boober, Mokey, Wembley and Uncle Traveling Matt are back together again with the help of Doozertubes in the mini-episodes filmed from the homes of the creatives on iPhones.","['Unknown', 'Family', '', '', 'Unknown', 'Family']"
Prop Culture,https://www.metacritic.com/tv/lets-go-crazy-the-grammy-salute-to-prince/,"The tribute concert to Prince filmed in January 2020 and hosted by Maya Rudolph features performances from such artist as Beck, Gary Clark Jr., Common, Earth, Wind, & Fire, Foo Fighters, Juanes, John Legend, Chris Martin, Miguel, the Revolution, the Revolution, Sheila E., St. Vincent, and Usher.","['Music', '', 'Music']"
Betty,https://www.metacritic.com/tv/middleditch-schwartz/,Three of Thomas Middleditch and Ben Schwartz's stage improv shows in New York were filmed for Netflix.,"['Comedy', '', 'Comedy']"
Hollywood,https://www.metacritic.com/tv/cooked-with-cannabis/,"Hosted by Kelis and Leather Storrs, the latest cooking show that involves cannabis for Netflix (in 2018 it had Cooking On High) features contestants creating CBD-infused dishes for a chance to win $10,000.","['Reality-TV', '', 'Reality-TV']"
Upload,https://www.metacritic.com/tv/the-midnight-gospel/,Podcaster Clancy is forced to leave his home to interview beings in other worlds after his multiverse simulator malfunctions in this adult animated series co-created by Pendleton Ward and Duncan Trussell.,"['Animation', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', '', '', '', '', '', 'Animation', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']"
Trying,https://www.metacritic.com/tv/the-last-dance/,The 10-part documentary series directed by Jason Hehir about Michael Jordan and the Chicago Bulls' 1997-98 championship season includes interviews and never-before-seen footage.,"['Documentary', 'Biography', 'History', 'Sport', '', '', '', '', 'Documentary', 'Biography', 'History', 'Sport']"
Into the Night,https://www.metacritic.com/tv/one-world-together-at-home/,"The World Health Organization (WHO) and Global Citizen special celebrating health workers is hosted by Jimmy Kimmel, Jimmy Fallon and Stephen Colbert features appearances from such artists as Green Day's Billie Joe Armstrong, David Beckham, Andrea Bocelli, Billie Eilish, Idris and Sabrina Elba, Elton John, John Legend, Lizzo, Chris Mart...","['Music', '', 'Music']"
A Parks and Recreation Special,https://www.metacritic.com/tv/home-2020/,The documentary series looks at innovative homes and the people who designed and built them.,"['Documentary', '', 'Documentary']"
Normal People,https://www.metacritic.com/tv/friday-night-in-with-the-morgans/,"The talk show hosted by Jeffrey Dean Morgan and Hilarie Burton Morgan at their upstate New York farm will include video chats from Walking Dead alums Sarah Wayne Callies, Christian Serratos, as well as actor-director Mark Duplass, and Supernatural's Jensen and Danneel Ackles.","['Talk-Show', '', 'Talk-Show']"
Never Have I Ever,https://www.metacritic.com/tv/too-hot-to-handle/,"10 single contestants ensconced at a luxury resort must refrain from any intimate contact - each infraction results in a cut into the the $100,000 prize on the reality dating series.","['Game-Show', 'Reality-TV', 'Romance', '', '', '', 'Game-Show', 'Reality-TV', 'Romance']"
RuPaul’s Secret Celebrity Drag Race,https://www.metacritic.com/tv/blackaf/,"The family comedy loosely based on the life of creator Kenya Barris, with Barris playing a fictionalized version of himself and Rashida Jones as his wife Joya, who raise six children together.","['Comedy', '', 'Comedy']"
Defending Jacob,https://www.metacritic.com/tv/the-disney-family-singalong/,"Christina Aguilera, Michael Bublé, Kristin Chenoweth, Darren Criss, Luke Evans, Elle Fanning, Josh Gad, Ariana Grande, Josh Groban, the High School Musical cast, Tori Kelly, Little Big Town, Demi Lovato, Alan Menken, Donny Osmond, Thomas Rhett, Marcus Scribner, and John Stamos are just some of the artists set to sing Disney songs from ho...","['Family', 'Music', 'Musical', '', '', '', 'Family', 'Music', 'Musical']"
Born Wild: The Next Generation,https://www.metacritic.com/tv/cleopatra-in-space/,"A teenaged Cleopatra (voiced by Lilimar Hernandez) finds herself 30,000 years into the future on a planet ruled by cats. She attends high school and learns skills to fight bad guys in this animated series based on a graphic novel by Mike Maihack.","['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi', '', '', '', '', '', '', 'Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']"
Gangs of London,https://www.metacritic.com/tv/the-innocence-files/,"The documentary series from Liz Garbus, Alex Gibney, and Roger Ross Williams focuses on eight cases from The Innocence Project.","['Documentary', 'Crime', '', '', 'Documentary', 'Crime']"
We're Here,https://www.metacritic.com/tv/the-innocence-files/,"The documentary series from Liz Garbus, Alex Gibney, and Roger Ross Williams focuses on eight cases from The Innocence Project.","['Documentary', 'Crime', '', '', 'Documentary', 'Crime']"
Penny Dreadful: City Of Angels,https://www.metacritic.com/tv/outer-banks/,"John B (Chase Stokes) and his friends search for his missing father and the treasure he was searching for off the Outer Banks of North Carolina in this teen drama created by Jonas Pate, Josh Pate, and Shannon Burke.","['Action', 'Crime', 'Drama', 'Mystery', 'Romance', 'Thriller', '', '', '', '', '', '', 'Action', 'Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']"
Ghost in the Shell: SAC_2045,https://www.metacritic.com/tv/mrs-america/,"Phyllis Schlafly (Cate Blanchett) seeks to stop the ratification of the Equal Rights Amendment championed by feminists such as Gloria Steinem (Rose Byrne), Betty Friedan (Tracy Ullman), Shirley Chisholm (Uzo Aduba), Bella Abzug (Margo Martindale) and Jill Ruckelshaus (Elizabeth Banks) in the limited series created and written by Dahvi Wa...","['Biography', 'Drama', 'History', '', '', '', 'Biography', 'Drama', 'History']"
She Walks With Apes,https://www.metacritic.com/tv/chris-delia-no-pain/,The third comedy special for comedian Chris D'Elia was filmed at Minneapolis' State Theater.,"['Comedy', '', 'Comedy']"
Fraggle Rock: Rock On!,https://www.metacritic.com/tv/the-bachelor-listen-to-your-heart/,The spin-off of ABC's dating reality show The Bachelor features 20 singles with music backgrounds going on dates and being tested with challenges that include singing live in front of music professionals.,"['Drama', 'Game-Show', 'Music', 'Reality-TV', 'Romance', '', '', '', '', '', 'Drama', 'Game-Show', 'Music', 'Reality-TV', 'Romance']"
Let's Go Crazy: The Grammy Salute to Prince,https://www.metacritic.com/tv/the-baker-and-the-beauty/,Miami baker Daniel Garcia's (Victor Rasuk) life is changed after he meets model-turned-fashion mogul Noa Hamilton (Nathalie Kelley) in this romantic comedy based on an Israeli series.,"['Comedy', 'Drama', 'Romance', '', '', '', 'Comedy', 'Drama', 'Romance']"
Middleditch & Schwartz,https://www.metacritic.com/tv/celebrity-iou/,"Celebrities including Michael Buble, Viola Davis, Melissa McCarthy, Brad Pitt, Jeremy Renner, and Rebel Wilson surprise people who helped or influenced their career and lives with home renovations with the help of Drew and Jonathan Scott.","['Reality-TV', '', 'Reality-TV']"
Cooked with Cannabis,https://www.metacritic.com/tv/baptiste/,Julien Baptiste (Tchéky Karyo) is helps the Dutch police investigation into a missing sex worker in Amsterdam in this spinoff of The Missing.,"['Crime', 'Drama', 'Thriller', '', '', '', 'Crime', 'Drama', 'Thriller']"
The Midnight Gospel,https://www.metacritic.com/tv/belgravia/,"Set in 1840s London, secrets continue to haunt the nouveau riche Trenchards and the aristocratic Bellasis 25 years after they first met in 1915 in the six-part adaptation of Julian Fellowes' novel of the same name.","['Drama', 'Romance', '', '', 'Drama', 'Romance']"
The Last Dance,https://www.metacritic.com/tv/run-2020/,Ruby Richardson (Merritt Wever) decides to leave her dull life to travel across America with her old college boyfriend Billy (Domhnall Gleeson) after receiving a text message from him to fulfill a pact they made 17 years ago in this romantic comedy thriller written by Vicky Jones.,"['Comedy', 'Romance', 'Thriller', '', '', '', 'Comedy', 'Romance', 'Thriller']"
One World: Together at Home,https://www.metacritic.com/tv/the-clark-sisters-first-ladies-of-gospel/,"The TV movie recounts the story of the Staple sisters (Christina Bell, Kierra Sheard, Sheléa Frazier, Raven Goodwin, and Angela Birchett) rise in the Gospel music industry.","['Drama', '', 'Drama']"
Home (2020),https://www.metacritic.com/tv/brews-brothers/,Estranged brothers Wilhelm (Alan Aisenberg) and Adam Rodman (Mike Castle) are forced to run a brewery together in this comedy from Greg and Jeff Schaffer.,"['Comedy', 'Drama', '', '', 'Comedy', 'Drama']"
Friday Night In with The Morgans,https://www.metacritic.com/tv/shaq-life/,"The documentary series narrated by Samuel L. Jackson follows former NBA player Shaquille O'Neal as he works on a film, shoots commercials, go on an international DJ tour, runs his restaurant, does speaking engagements and spending time with is family.","['Reality-TV', '', 'Reality-TV']"
Too Hot to Handle,https://www.metacritic.com/tv/who-wants-to-be-a-millionaire-2020/,"Jimmy Kimmel hosts this special primetime season of the game show featuring celebrity contestants playing for charity including Will Forte, Eric Stonestreet and Nikki Glaser.","['Documentary', '', 'Documentary']"
#blackAF,https://www.metacritic.com/tv/stephen-colbert-presents-tooning-out-the-news/,"The animated comedy series from the creators of Our Cartoon President features mocking daily news segments and interviews with real people including Dan Abrams, Alan Dershowitz, Thomas Friedman, Nicholas Kristof, Rep. Barbara Lee, Olivia Nuzzi, Rep. Donna Shalala and Rep. Eric Swalwell.","['Animation', 'Comedy', 'News', 'Talk-Show', '', '', '', '', 'Animation', 'Comedy', 'News', 'Talk-Show']"
The Disney Family Singalong,https://www.metacritic.com/tv/the-big-show-show/,"Former WWE wrestler the Big Show (playing a fictional version of himself) finds himself outmanned when his oldest daughter comes to live with him, his second wife and their two younger daughters in this comedy written by Jason Berger and Josh Bycel.","['Comedy', 'Family', '', '', 'Comedy', 'Family']"
Cleopatra in Space,https://www.metacritic.com/tv/kim-kardashian-west-the-justice-project/,"The documentary features Kim Kardashian West as she talks to inmates, lawyers and officials about criminal justice reform.","['Documentary', '', 'Documentary']"
The Innocence Files,https://www.metacritic.com/tv/atlantas-missing-and-murdered-the-lost-children/,"The five-part documentary series looks into the cases of kidnapping and murder of at least 30 African-American children, aged 7 to 17, in Atlanta between 1979 and 1981 that were recently reopened by the Atlanta Police Department in 2019 (and dramatized in the second season of Netflix's Mindhunter).","['Documentary', 'Crime', '', '', 'Documentary', 'Crime']"
The Innocence Files,https://www.metacritic.com/tv/world-on-fire/,"Set during World War II, the drama written by Peter Bowker follows the lives of British Army translator Harry Chase (Jonah Hauer-King); his Polish lover Kasia (Zofia Wichłacz;, Lois (Julia Brown), his girlfriend in Manchester; American journalist Nancy Campbell (Helen Hunt); American surgeon Webster O’Connor (Brian J. Smith) and his love...","['Drama', 'War', '', '', 'Drama', 'War']"
Outer Banks,https://www.metacritic.com/tv/the-windermere-children/,"A group of children rescued from Nazi concentration camps were brought to the Calgarth Estate by Lake Windermere in August 1945 to recuperate with the help of child psychologist Oscar Friedmann (Thomas Kretschmann), art therapist Marie Paneth (Romola Garai), philanthropist Leonard Montefiore (Tim McInnerny) and sports coach Jock Lawrence...","['Drama', 'War', '', '', 'Drama', 'War']"
Mrs. America,https://www.metacritic.com/tv/the-secrets-she-keeps/,"Pregnant mommy blogger Meghan (Jessica de Gouw) and pregnant supermarket worker Agatha (Laura Carmichael) both have secrets in this six-part Australian thriller based on a novel by Michael Robotham. [Premiered originally on Australia's Network 10 on 16 Jun 2020, aired in the US on Sundance Now on 16 Jul 2020 and on AMC on 19 Apr 2021]","['Crime', 'Drama', 'Thriller', '', '', '', 'Crime', 'Drama', 'Thriller']"
Chris D'Elia: No Pain,https://www.metacritic.com/tv/home-before-dark/,A young investigative reporter (Brooklyn Prince) moves to her father's (Jim Sturgess) hometown from Brooklyn where she discovers the truth behind a cold case everyone else wanted buried forever in this mystery series inspired by real-life pre-teen investigative journalist Hilde Lysiak.,"['Crime', 'Drama', 'Mystery', '', '', '', 'Crime', 'Drama', 'Mystery']"
The Bachelor: Listen to Your Heart,https://www.metacritic.com/tv/tales-from-the-loop/,"The sci-fi series based on the art book by Simon Stålenhag focuses on the people who live in a town above The Loop, a machine built by by a group led by Russ (Jonathan Pryce), that allows the impossible to be possible.","['Drama', 'Sci-Fi', '', '', 'Drama', 'Sci-Fi']"
The Baker and the Beauty,https://www.metacritic.com/tv/broke/,"Single mother Jackie (Pauley Perrette) reluctantly takes in her estranged sister Elizabeth (Natasha Leggero), her husband Javier (Jaime Camil) and their assistant Luis (Izzy Diaz) after Miguel's trust fund is taken from him in this comedy from Jennie Snyder Urman and Alex Herschlag.","['Comedy', '', 'Comedy']"
Celebrity IOU,https://www.metacritic.com/tv/cursed-films/,"The documentary series directed and written by Jay Cheel looks at the problems behind the making of such films as Poltergeist, The Exorcist, The Omen, The Crow, and Twilight Zone: The Movie.","['Documentary', 'Horror', '', '', 'Documentary', 'Horror']"
Baptiste,https://www.metacritic.com/tv/the-iliza-shlesinger-sketch-show/,"The sketch comedy from actress/comedian Iliza Shlesinger includes skits where she plays a newlywed, a daytime talk show co-host, an infomercial spokeswoman and a reality show narrator.","['Comedy', '', 'Comedy']"
Belgravia,https://www.metacritic.com/tv/how-to-fix-a-drug-scandal/,"The four-part docuseries directed by Erin Lee Carr looks into the cases against two Massachusetts drug lab chemists Sonja Farak and Annie Dookhan, who used and stole drugs from evidence she was suppose to test or faked test results.","['Documentary', 'Crime', '', '', 'Documentary', 'Crime']"
Run (2020),https://www.metacritic.com/tv/the-scheme/,"Pat Kondelis' documentary centers on Christian Dawkins, who became the focus of the FBI's two-year investigation into a much larger college basketball corruption scandal that included Adidas executives and assistant coaches.","['Documentary', 'Crime', '', '', 'Documentary', 'Crime']"
The Clark Sisters: First Ladies of Gospel,https://www.metacritic.com/tv/three-busy-debras/,"A comedy about three housewives (Sandy Honig, Mitra Jouhari and Alyssa Stonoha) who are all named Debra.","['Comedy', '', 'Comedy']"
Brews Brothers,https://www.metacritic.com/tv/beef-house/,"Slacker Tim (Tim Heidecker) moves in with his best friend Eric (Eric Warheim), Eric's wife (Jamie-Lynn Sigler) and three others (Ron Austar, Tennessee Winston Luke, and Ben Hur) in the sitcom from Tim Heidecker and Eric Wareheim.","['Comedy', '', 'Comedy']"
Shaq Life,https://www.metacritic.com/tv/danger-force/,The Henry Danger spin-off series follows Captain Man (Cooper Barnes) and Schwoz (Michael D. Cohen) as they train four new young superheroes.,"['Action', 'Comedy', 'Family', '', '', '', 'Action', 'Comedy', 'Family']"
Who Wants to be a Millionaire? (2020),https://www.metacritic.com/tv/baghdad-central/,"Set just as the US-led Coalition takes over Baghdad, ex-Iraqi policeman Muhsin al-Khafaji (Waleed Zuaiter) searches for his estranged eldest daughter Sawsan (Leem Lubany) in this series written by Stephen Butchard and based on the novel of the same name by Elliott Colla.","['Crime', 'Drama', 'History', 'Thriller', 'War', '', '', '', '', '', 'Crime', 'Drama', 'History', 'Thriller', 'War']"
Stephen Colbert Presents Tooning Out the News,https://www.metacritic.com/tv/vagrant-queen/,"Elida (Adriyan Rae) is hiding from the Republic government, including Commander Lazaro (Paul du Toit), who wish to kill her. Her friend Isaac (Tim Rozon) arrives with news her mother is still alive. They set out to rescue her mother with the help of Amae (Alex McGregor) in this adaptation from Jem Garrard of the comic book series.","['Adventure', 'Sci-Fi', '', '', 'Adventure', 'Sci-Fi']"
The Big Show Show,https://www.metacritic.com/tv/be-our-chef/,The cooking competition series hosted by features families competing to cook Disney-inspired dishes for a chance to have their dish featured at Disney World.,"['Game-Show', 'Reality-TV', '', '', 'Game-Show', 'Reality-TV']"
Kim Kardashian West: The Justice Project,https://www.metacritic.com/tv/making-the-cut/,"Prime Video gets into the fashion designing reality competitive show arena with a series hosted by Tim Gunn and Heidi Klum with judging by Joseph Altuzarra, Naomi Campbell, Chiara Ferragni, Nicole Richie, and Carine Roitfeld.","['Game-Show', '', 'Game-Show']"
Atlanta's Missing and Murdered: The Lost Children,https://www.metacritic.com/tv/kill-chain-the-cyber-war-on-americas-elections/,"Finnish hacker and election security expert Harri Hursti shows how easy it can be to hack (or even buy) the technology used in the U.S. voting systems in this documentary from directors Simon Ardizzone, Russell Michaels and Sarah Teale.","['Documentary', '', 'Documentary']"
World On Fire,https://www.metacritic.com/tv/unorthodox/,"The four-part drama inspired by Deborah Feldman's memoir, Esther ""Esty"" Shapiro (Shira Haas) flees her Hasidic Brooklyn home for Berlin, while her husband Yanky (Amit Rahav) and his cousin Moische (Jeff Wilbusch) seek to bring her back.","['Drama', '', 'Drama']"
The Windermere Children,https://www.metacritic.com/tv/council-of-dads/,"After being diagnosed with a terminal illness, Scott Perry (Tom Everett Scott) and his wife Robin (Sarah Wayne Callies) asked his best friend Anthony Lavelle (Clive Standen); his AA sponsor, Larry Mills (Michael O’Neill); and Dr. Oliver Post (J. August Richards), his surgeon and wife's best friend, to be the father figures for their kids...","['Drama', '', 'Drama']"
The Secrets She Keeps,https://www.metacritic.com/tv/miss-fisher-and-the-crypt-of-tears/,"Phryne Fisher (Essie Davis) frees Shirin Abbas (Izabella Yena) from a Jerusalem prison and while looking into the disappearance of Shirin's family, discovers a larger mystery of priceless jewels, curses and secrets in this feature-length adventure.","['Adventure', 'Drama', 'Mystery', '', '', '', 'Adventure', 'Drama', 'Mystery']"
Home Before Dark,https://www.metacritic.com/tv/jamie-keep-cooking-carry-on/,Jamie Oliver's latest cooking show features lockdown-ready recipes created with pantry staples or leftovers.,[]
Tales From the Loop,https://www.metacritic.com/tv/freud/,"Set in 1880s Vienna, young Sigmund Freud (Robert Finster) is joined by psychic medium Fleur Salomé (Ella Rumpf) and policeman Alfred Kiss (Georg Friedrich) in his investigation into multiple murders in this Austrian thriller series.","['Crime', 'Thriller', '', '', 'Crime', 'Thriller']"
Broke,https://www.metacritic.com/tv/the-english-game/,Arthur Kinnaird (Edward Holcroft) and Fergus Suter (Kevin Guthrie) are the two men who help bring football (soccer) to the general public in 1870s England in the six-part Julian Fellowes' drama.,"['Drama', 'History', 'Sport', '', '', '', 'Drama', 'History', 'Sport']"
Cursed Films,https://www.metacritic.com/tv/tiger-king/,"Eric Goode and Rebecca Chaiklin's documentary series about Joe Exotic, self-proclaimed Tiger King, who ran a zoo in Oklahoma and plotted to kill animal activist Carole Baskin also reveals the dark underbelly of breeding and selling big exotic cats.","['Documentary', 'Biography', 'Crime', '', '', '', 'Documentary', 'Biography', 'Crime']"
